CODIGO,DESCRIPCION,CANTIDAD,UBICACION,CATALOGO,PROVEEDOR,TIPO,ENTREGADO A:,REGRESO FECHA:,WEB SITE,IMAGEN
ARMOR,ADMORE ARMOR,1,C01N01P01,ADMORE,FABRICUT,TELA,,,http://qrc.fabricut.com/?id=3955120,https://s3.amazonaws.com/fabricut.img/img/product_images/3955120.jpg
AZURE,ADMORE AZURE,1,C01N01P01,ADMORE,FABRICUT,TELA,,,http://qrc.fabricut.com/?id=3955106,https://s3.amazonaws.com/fabricut.img/img/product_images/3955106.jpg
CADET,ADMORE CADET,1,C01N01P01,ADMORE,FABRICUT,TELA,,,http://qrc.fabricut.com/?id=3955105,https://s3.amazonaws.com/fabricut.img/img/product_images/3955105.jpg
CIDER,ADMORE CIDER,1,C01N01P01,ADMORE,FABRICUT,TELA,,,http://qrc.fabricut.com/?id=3955115,https://s3.amazonaws.com/fabricut.img/img/product_images/3955115.jpg
CLOVER,ADMORE CLOVER,1,C01N01P01,ADMORE,FABRICUT,TELA,,,http://qrc.fabricut.com/?id=3955109,https://s3.amazonaws.com/fabricut.img/img/product_images/3955109.jpg
COIN,ADMORE COIN,1,C01N01P01,ADMORE,FABRICUT,TELA,,,http://qrc.fabricut.com/?id=3955103,https://s3.amazonaws.com/fabricut.img/img/product_images/3955103.jpg
CURRANT,ADMORE CURRANT,1,C01N01P01,ADMORE,FABRICUT,TELA,,,http://qrc.fabricut.com/?id=3955117,https://s3.amazonaws.com/fabricut.img/img/product_images/3955117.jpg
DELUGE,ADMORE DELUGE,1,C01N01P01,ADMORE,FABRICUT,TELA,,,http://qrc.fabricut.com/?id=3955111,https://s3.amazonaws.com/fabricut.img/img/product_images/3955111.jpg
DEWBERRY,ADMORE DEWBERRY,1,C01N01P01,ADMORE,FABRICUT,TELA,,,http://qrc.fabricut.com/?id=3955118,https://s3.amazonaws.com/fabricut.img/img/product_images/3955118.jpg
FALCON,ADMORE FALCON,1,C01N01P02,ADMORE,FABRICUT,TELA,,,http://qrc.fabricut.com/?id=3955119,https://s3.amazonaws.com/fabricut.img/img/product_images/3955119.jpg
GINGERBREAD,ADMORE GINGERBREAD,1,C01N01P02,ADMORE,FABRICUT,TELA,,,http://qrc.fabricut.com/?id=3955114,https://s3.amazonaws.com/fabricut.img/img/product_images/3955114.jpg
LAUREL,ADMORE LAUREL,1,C01N01P02,ADMORE,FABRICUT,TELA,,,http://qrc.fabricut.com/?id=3955108,https://s3.amazonaws.com/fabricut.img/img/product_images/3955108.jpg
LIPSTICK,ADMORE LIPSTICK,1,C01N01P02,ADMORE,FABRICUT,TELA,,,http://qrc.fabricut.com/?id=3955116,https://s3.amazonaws.com/fabricut.img/img/product_images/3955116.jpg
ODYSSEY,ADMORE ODYSSEY,1,C01N01P02,ADMORE,FABRICUT,TELA,,,http://qrc.fabricut.com/?id=3955107,https://s3.amazonaws.com/fabricut.img/img/product_images/3955107.jpg
PAVEMENT,ADMORE PAVEMENT,1,C01N01P02,ADMORE,FABRICUT,TELA,,,http://qrc.fabricut.com/?id=3955101,https://s3.amazonaws.com/fabricut.img/img/product_images/3955101.jpg
PEPPER,ADMORE PEPPER,1,C01N01P02,ADMORE,FABRICUT,TELA,,,http://qrc.fabricut.com/?id=3955102,https://s3.amazonaws.com/fabricut.img/img/product_images/3955102.jpg
SEADRIFT,ADMORE SEADRIFT,1,C01N01P02,ADMORE,FABRICUT,TELA,,,http://qrc.fabricut.com/?id=3955104,https://s3.amazonaws.com/fabricut.img/img/product_images/3955104.jpg
SHOJI,ADMORE SHOJI,1,C01N01P03,ADMORE,FABRICUT,TELA,,,http://qrc.fabricut.com/?id=3955112,https://s3.amazonaws.com/fabricut.img/img/product_images/3955112.jpg
SPICE,ADMORE SPICE,1,C01N01P03,ADMORE,FABRICUT,TELA,,,http://qrc.fabricut.com/?id=3955113,https://s3.amazonaws.com/fabricut.img/img/product_images/3955113.jpg
STORMY,ADMORE STORMY,1,C01N01P03,ADMORE,FABRICUT,TELA,,,http://qrc.fabricut.com/?id=3955121,https://s3.amazonaws.com/fabricut.img/img/product_images/3955121.jpg
TOURMALINE,ADMORE TOURMALINE,1,C01N01P03,ADMORE,FABRICUT,TELA,,,http://qrc.fabricut.com/?id=3955110,https://s3.amazonaws.com/fabricut.img/img/product_images/3955110.jpg
WHEAT,CORSICA WHEAT,1,C01N01P04,CORSICA,FABRICUT,TELA,,,http://qrc.fabricut.com/?id=8183501,https://s3.amazonaws.com/fabricut.img/img/product_images/8183501.jpg
TRUFFLE,CORSICA TRUFFLE,1,C01N01P04,CORSICA,FABRICUT,TELA,,,http://qrc.fabricut.com/?id=8183510,https://s3.amazonaws.com/fabricut.img/img/product_images/8183510.jpg
SADDLE,CORSICA SADDLE,1,C01N01P04,CORSICA,FABRICUT,TELA,,,http://qrc.fabricut.com/?id=8183509,https://s3.amazonaws.com/fabricut.img/img/product_images/8183509.jpg
MUDSLIDE,CORSICA MUDSLIDE,1,C01N01P04,CORSICA,FABRICUT,TELA,,,http://qrc.fabricut.com/?id=8183505,https://s3.amazonaws.com/fabricut.img/img/product_images/8183505.jpg
MILKWEED,CORSICA MILKWEED,1,C01N01P04,CORSICA,FABRICUT,TELA,,,http://qrc.fabricut.com/?id=8183511,https://s3.amazonaws.com/fabricut.img/img/product_images/8183511.jpg
MIDNIGHT,CORSICA MIDNIGHT,1,C01N01P04,CORSICA,FABRICUT,TELA,,,http://qrc.fabricut.com/?id=8183502,https://s3.amazonaws.com/fabricut.img/img/product_images/8183502.jpg
ASH,CORSICA ASH,1,C01N01P04,CORSICA,FABRICUT,TELA,,,http://qrc.fabricut.com/?id=8183507,https://s3.amazonaws.com/fabricut.img/img/product_images/8183507.jpg
HYDRANGEA,GLOURIOUS BOUQUET - WC HYDRANGEA,2,C01N01P05,GLOURIOUS BOUQUET - WC,FABRICUT,PAPEL TAPIZ,,,http://qrc.fabricut.com/?id=1542202,https://s3.amazonaws.com/fabricut.img/img/product_images/1542202.jpg
SMOKE,LITERATURE - WC SMOKE,2,C01N01P06,LITERATURE - WC,FABRICUT,PAPEL TAPIZ,,,http://qrc.fabricut.com/?id=8912706,https://s3.amazonaws.com/fabricut.img/img/product_images/8912706.jpg
