©,DESCRIPCION,CANTIDAD,UBICACION,CATALOGO,PROVEEDOR,TIPO,ENTREGADO A:,REGRESO FECHA:,WEB SITE,IMAGEN,ID
ARMOR,ADMORE ARMOR,1,C01N01P01,ADMORE,FABRICUT,TELA,,,http://qrc.fabricut.com/?id=3955120,https://s3.amazonaws.com/fabricut.img/img/product_images/3955120.jpg,MUESTRA-001
AZURE,ADMORE AZURE,1,C01N01P01,ADMORE,FABRICUT,TELA,,,http://qrc.fabricut.com/?id=3955106,https://s3.amazonaws.com/fabricut.img/img/product_images/3955106.jpg,MUESTRA-002
CADET,ADMORE CADET,1,C01N01P01,ADMORE,FABRICUT,TELA,,,http://qrc.fabricut.com/?id=3955105,https://s3.amazonaws.com/fabricut.img/img/product_images/3955105.jpg,MUESTRA-003
CIDER,ADMORE CIDER,1,C01N01P01,ADMORE,FABRICUT,TELA,,,http://qrc.fabricut.com/?id=3955115,https://s3.amazonaws.com/fabricut.img/img/product_images/3955115.jpg,MUESTRA-004
CLOVER,ADMORE CLOVER,1,C01N01P01,ADMORE,FABRICUT,TELA,,,http://qrc.fabricut.com/?id=3955109,https://s3.amazonaws.com/fabricut.img/img/product_images/3955109.jpg,MUESTRA-005
COIN,ADMORE COIN,1,C01N01P01,ADMORE,FABRICUT,TELA,,,http://qrc.fabricut.com/?id=3955103,https://s3.amazonaws.com/fabricut.img/img/product_images/3955103.jpg,MUESTRA-006
CURRANT,ADMORE CURRANT,1,C01N01P01,ADMORE,FABRICUT,TELA,,,http://qrc.fabricut.com/?id=3955117,https://s3.amazonaws.com/fabricut.img/img/product_images/3955117.jpg,MUESTRA-007
DELUGE,ADMORE DELUGE,1,C01N01P01,ADMORE,FABRICUT,TELA,,,http://qrc.fabricut.com/?id=3955111,https://s3.amazonaws.com/fabricut.img/img/product_images/3955111.jpg,MUESTRA-008
DEWBERRY,ADMORE DEWBERRY,1,C01N01P01,ADMORE,FABRICUT,TELA,,,http://qrc.fabricut.com/?id=3955118,https://s3.amazonaws.com/fabricut.img/img/product_images/3955118.jpg,MUESTRA-009
FALCON,ADMORE FALCON,1,C01N01P02,ADMORE,FABRICUT,TELA,,,http://qrc.fabricut.com/?id=3955119,https://s3.amazonaws.com/fabricut.img/img/product_images/3955119.jpg,MUESTRA-010
GINGERBREAD,ADMORE GINGERBREAD,1,C01N01P02,ADMORE,FABRICUT,TELA,,,http://qrc.fabricut.com/?id=3955114,https://s3.amazonaws.com/fabricut.img/img/product_images/3955114.jpg,MUESTRA-011
LAUREL,ADMORE LAUREL,1,C01N01P02,ADMORE,FABRICUT,TELA,,,http://qrc.fabricut.com/?id=3955108,https://s3.amazonaws.com/fabricut.img/img/product_images/3955108.jpg,MUESTRA-012
LIPSTICK,ADMORE LIPSTICK,1,C01N01P02,ADMORE,FABRICUT,TELA,,,http://qrc.fabricut.com/?id=3955116,https://s3.amazonaws.com/fabricut.img/img/product_images/3955116.jpg,MUESTRA-013
ODYSSEY,ADMORE ODYSSEY,1,C01N01P02,ADMORE,FABRICUT,TELA,,,http://qrc.fabricut.com/?id=3955107,https://s3.amazonaws.com/fabricut.img/img/product_images/3955107.jpg,MUESTRA-014
PAVEMENT,ADMORE PAVEMENT,1,C01N01P02,ADMORE,FABRICUT,TELA,,,http://qrc.fabricut.com/?id=3955101,https://s3.amazonaws.com/fabricut.img/img/product_images/3955101.jpg,MUESTRA-015
PEPPER,ADMORE PEPPER,1,C01N01P02,ADMORE,FABRICUT,TELA,,,http://qrc.fabricut.com/?id=3955102,https://s3.amazonaws.com/fabricut.img/img/product_images/3955102.jpg,MUESTRA-016
SEADRIFT,ADMORE SEADRIFT,1,C01N01P02,ADMORE,FABRICUT,TELA,,,http://qrc.fabricut.com/?id=3955104,https://s3.amazonaws.com/fabricut.img/img/product_images/3955104.jpg,MUESTRA-017
SHOJI,ADMORE SHOJI,1,C01N01P03,ADMORE,FABRICUT,TELA,,,http://qrc.fabricut.com/?id=3955112,https://s3.amazonaws.com/fabricut.img/img/product_images/3955112.jpg,MUESTRA-018
SPICE,ADMORE SPICE,1,C01N01P03,ADMORE,FABRICUT,TELA,,,http://qrc.fabricut.com/?id=3955113,https://s3.amazonaws.com/fabricut.img/img/product_images/3955113.jpg,MUESTRA-019
STORMY,ADMORE STORMY,1,C01N01P03,ADMORE,FABRICUT,TELA,,,http://qrc.fabricut.com/?id=3955121,https://s3.amazonaws.com/fabricut.img/img/product_images/3955121.jpg,MUESTRA-020
TOURMALINE,ADMORE TOURMALINE,1,C01N01P03,ADMORE,FABRICUT,TELA,,,http://qrc.fabricut.com/?id=3955110,https://s3.amazonaws.com/fabricut.img/img/product_images/3955110.jpg,MUESTRA-021
WHEAT,CORSICA WHEAT,1,C01N01P04,CORSICA,FABRICUT,TELA,,,http://qrc.fabricut.com/?id=8183501,https://s3.amazonaws.com/fabricut.img/img/product_images/8183501.jpg,MUESTRA-022
TRUFFLE,CORSICA TRUFFLE,1,C01N01P04,CORSICA,FABRICUT,TELA,,,http://qrc.fabricut.com/?id=8183510,https://s3.amazonaws.com/fabricut.img/img/product_images/8183509.jpg,MUESTRA-023
SADDLE,CORSICA SADDLE,1,C01N01P04,CORSICA,FABRICUT,TELA,,,http://qrc.fabricut.com/?id=8183509,,MUESTRA-024
MUDSLIDE,CORSICA MUDSLIDE,1,C01N01P04,CORSICA,FABRICUT,TELA,,,http://qrc.fabricut.com/?id=8183505,https://s3.amazonaws.com/fabricut.img/img/product_images/8183505.jpg,MUESTRA-025
MILKWEED,CORSICA MILKWEED,1,C01N01P04,CORSICA,FABRICUT,TELA,,,http://qrc.fabricut.com/?id=8183511,https://s3.amazonaws.com/fabricut.img/img/product_images/8183511.jpg,MUESTRA-026
MIDNIGHT,CORSICA MIDNIGHT,1,C01N01P04,CORSICA,FABRICUT,TELA,,,http://qrc.fabricut.com/?id=8183502,https://s3.amazonaws.com/fabricut.img/img/product_images/8183502.jpg,MUESTRA-027
ASH,CORSICA ASH,1,C01N01P04,CORSICA,FABRICUT,TELA,,,http://qrc.fabricut.com/?id=8183507,https://s3.amazonaws.com/fabricut.img/img/product_images/8183507.jpg,MUESTRA-028
HYDRANGEA,GLOURIOUS BOUQUET - WC HYDRANGEA,2,C01N01P05,GLOURIOUS BOUQUET - WC,FABRICUT,PAPEL TAPIZ,,,http://qrc.fabricut.com/?id=1542202,https://s3.amazonaws.com/fabricut.img/img/product_images/1542202.jpg,MUESTRA-029
SMOKE,LITERATURE - WC SMOKE,2,C01N01P06,LITERATURE - WC,FABRICUT,PAPEL TAPIZ,,,http://qrc.fabricut.com/?id=8912706,https://s3.amazonaws.com/fabricut.img/img/product_images/8912706.jpg,MUESTRA-030
CASTLE,LITERATURE - WC CASTLE,1,C01N01P06,LITERATURE - WC,FABRICUT,PAPEL TAPIZ,,,http://qrc.fabricut.com/?id=8912702,https://s3.amazonaws.com/fabricut.img/img/product_images/8912702.jpg,MUESTRA-031
KONA,LITERATURE - WC KONA,2,C01N01P06,LITERATURE - WC,FABRICUT,PAPEL TAPIZ,,,http://qrc.fabricut.com/?id=8912703,https://s3.amazonaws.com/fabricut.img/img/product_images/8912703.jpg,MUESTRA-032
COMET,LITERATURE - WC COMET,2,C01N01P06,LITERATURE - WC,FABRICUT,PAPEL TAPIZ,,,http://qrc.fabricut.com/?id=8912704,https://s3.amazonaws.com/fabricut.img/img/product_images/8912704.jpg,MUESTRA-033
LEAF,LUSH RAINFOREST - WC LEAF,2,C01N02P01,LUSH RAINFOREST - WC,FABRICUT,PAPEL TAPIZ,,,http://qrc.fabricut.com/?id=1541501,https://s3.amazonaws.com/fabricut.img/img/product_images/1541501.jpg,MUESTRA-034
DUSK,MIDNIGHT GARDEN - WC DUSK,2,C01N02P02,MIDNIGHT GARDEN - WC,FABRICUT,PAPEL TAPIZ,,,http://qrc.fabricut.com/?id=1542002,https://s3.amazonaws.com/fabricut.img/img/product_images/1542002.jpg,MUESTRA-035
ADRIATIC,TROPICAL GARDEN - WC ADRIATIC,2,C01N02P03,TROPICAL GARDEN - WC,FABRICUT,PAPEL TAPIZ,,,http://qrc.fabricut.com/?id=1542101,https://s3.amazonaws.com/fabricut.img/img/product_images/1542101.jpg,MUESTRA-036
NOUGAT-02,50086W MIETTE NOUGAT-02,2,C01N02P04,50086W MIETTE,FABRICUT,PAPEL TAPIZ,,,http://qr.fabricut.com/?id=5994702,https://s3.amazonaws.com/fabricut.img/img/product_images/5994702.jpg,MUESTRA-037
NAVY-04,50086W MIETTE NAVY-04,2,C01N02P04,50086W MIETTE,FABRICUT,PAPEL TAPIZ,,,http://qr.fabricut.com/?id=5994704,https://s3.amazonaws.com/fabricut.img/img/product_images/5994704.jpg,MUESTRA-038
NAVY-01,50370W PERTH NAVY-01,2,C01N02P04,50370W PERTH,FABRICUT,PAPEL TAPIZ,,,http://qr.fabricut.com/?id=6059801,https://s3.amazonaws.com/fabricut.img/img/product_images/6059801.jpg,MUESTRA-039
ROSE GOLD-05,50086W MIETTE ROSE GOLD-05,2,C01N02P04,50086W MIETTE,FABRICUT,PAPEL TAPIZ,,,http://qr.fabricut.com/?id=5994705,https://s3.amazonaws.com/fabricut.img/img/product_images/5994705.jpg,MUESTRA-040
QUARTZ,50308W MAXIS QUARTZ,4,C01N02P05,50308W MAXIS,FABRICUT,PAPEL TAPIZ,,,http://qr.fabricut.com/?id=4591915,https://s3.amazonaws.com/fabricut.img/img/product_images/0848215.jpg,MUESTRA-041
PEARL,50308W MAXIS PEARL,4,C01N02P05,50308W MAXIS,FABRICUT,PAPEL TAPIZ,,,http://qr.fabricut.com/?id=4591911,https://s3.amazonaws.com/fabricut.img/img/product_images/0848211.jpg,MUESTRA-042
COBALT,50308W MAXIS COBALT,4,C01N02P05,50308W MAXIS,FABRICUT,PAPEL TAPIZ,,,http://qr.fabricut.com/?id=4591905,https://s3.amazonaws.com/fabricut.img/img/product_images/0848205.jpg,MUESTRA-043
METAL,50308W MAXIS METAL,3,C01N02P05,50308W MAXIS,FABRICUT,PAPEL TAPIZ,,,http://qr.fabricut.com/?id=4591909,https://s3.amazonaws.com/fabricut.img/img/product_images/0848209.jpg,MUESTRA-044
METAL50314W,50314W ZARINA METAL50314W,2,C01N02P06,50314W ZARINA,FABRICUT,PAPEL TAPIZ,,,http://qr.fabricut.com/?id=4611407,https://s3.amazonaws.com/fabricut.img/img/product_images/0847207.jpg,MUESTRA-045
MUSHROOM,50314W ZARINA MUSHROOM,5,C01N02P06,50314W ZARINA,FABRICUT,PAPEL TAPIZ,,,http://qr.fabricut.com/?id=4611403,https://s3.amazonaws.com/fabricut.img/img/product_images/0847203.jpg,MUESTRA-046
PELICAN,50314W ZARINA PELICAN,4,C01N02P06,50314W ZARINA,FABRICUT,PAPEL TAPIZ,,,http://qr.fabricut.com/?id=4611405,https://s3.amazonaws.com/fabricut.img/img/product_images/0847205.jpg,MUESTRA-047
GOLD-02,50371W HODAR GOLD-02,5,C01N03P01,50371W HODAR,FABRICUT,PAPEL TAPIZ,,,http://qr.fabricut.com/?id=6060002,https://s3.amazonaws.com/fabricut.img/img/product_images/6060002.jpg,MUESTRA-048
SILVER-01,50371W HODAR SILVER-01,5,C01N03P01,50371W HODAR,FABRICUT,PAPEL TAPIZ,,,http://qr.fabricut.com/?id=6060001,https://s3.amazonaws.com/fabricut.img/img/product_images/6060001.jpg,MUESTRA-049
AQUA-01,50376W PERCE AQUA-01,3,C01N03P02,50376W PERCE,FABRICUT,PAPEL TAPIZ,,,http://qr.fabricut.com/?id=6061301,https://s3.amazonaws.com/fabricut.img/img/product_images/6061301.jpg,MUESTRA-050
GREY-02,50385W CILMA GREY-02,2,C01N03P02,50385W CILMA,FABRICUT,PAPEL TAPIZ,,,http://qr.fabricut.com/?id=6063202,https://s3.amazonaws.com/fabricut.img/img/product_images/6063202.jpg,MUESTRA-051
AQUA-01 ELIDA,50388W  ELIDA AQUA-01 ELIDA,5,C01N03P03,50388W  ELIDA,FABRICUT,PAPEL TAPIZ,,,http://qr.fabricut.com/?id=6064101,https://s3.amazonaws.com/fabricut.img/img/product_images/6064101.jpg,MUESTRA-052
