Número de artículo,Descripción del artículo,En stock,Comprometido,Solicitado,Disponible,Unidad de medida,PRECIOVENTA,IMAGEN,STOCK EN BODEGA,UBICACION,DISPONIBILIDAD
ZW143-01,CARACTERE SPUN GOLD ROMO,2,,,,,$294.00,STOCK SAP_Images/ZW143-01.jpg,1,C09N01P01,INMEDIATA
ZW142/04,LACQUER SMOKE,,,,,,$0.00,STOCK SAP_Images/ZW142/04.jpg,,,
"ZW142/01,LACQUER VELLUM/ROMO,,,,,,""$1,970.00"",STOCK SAP_Images/ZW142/01.jpg,,,"
ZW142-03,LACQUER MINK ROMO,,,,,,$294.00,STOCK SAP_Images/ZW142-03.jpg,,,
ZW141-03,SUEDED MINK ROMO,,,,,,$235.00,STOCK SAP_Images/ZW141-03.jpg,,,
ZIPPER-01,ZIPPER,217,,,217,,$0.00,STOCK SAP_Images/ZIPPER-01.jpg,,,
ZEROUNO,WALL MOUNTED READING LIGHT LED,8,,,8,,$135.00,STOCK SAP_Images/ZEROUNO.jpg,,,
Z804-04,LABYRINTH HUNTINH ROMO,,,,,,$0.00,STOCK SAP_Images/Z804-04.jpg,,,
Z801-04,LABYRINTH HUNTING ROMO,0.5,,,0.5,,$0.00,STOCK SAP_Images/Z801-04.jpg,,,
YA78297,MATTEOLI FLATWEAVE RECYCLED P.E.T. STRIPED INDOOR/OUTDOOR RUG,,,,,,$990.00,STOCK SAP_Images/YA78297.jpg,,,
Y1877,NEUTRAL CHARLOTTE F,,,,,,$89.00,STOCK SAP_Images/Y1877.jpg,,,
Y1805,BUFF CHARLOTTE F,,,,,,$89.00,STOCK SAP_Images/Y1805.jpg,,,
Y1804,TRUFFLE CHARLOTTE F,,,,,,$89.00,STOCK SAP_Images/Y1804.jpg,,,
Y1774,SAPPHIRE CHARLOTTE F,10,,,10,,$89.00,STOCK SAP_Images/Y1774.jpg,,,
Y1680,PINK CHARLOTTE F,,,,,,$89.00,STOCK SAP_Images/Y1680.jpg,,,
Y1679,LATTE CHARLOTTE F,6,,,6,,$89.00,STOCK SAP_Images/Y1679.jpg,,,
Y1678,MARBLE CHEETAH CHARLOTTE F,,,,,,$89.00,STOCK SAP_Images/Y1678.jpg,,,
Y1661,DRIFTWOOD STRIPE CHARLOTTE F,10,,,10,,$89.00,STOCK SAP_Images/Y1661.jpg,,,
Y1658,EBONY CHARLOTTE F,10,,,10,,$89.00,STOCK SAP_Images/Y1658.jpg,,,
Y1646,SUNFLOWER CHARLOTTE F,10,,,10,,$89.00,STOCK SAP_Images/Y1646.jpg,,,
Y1645,MEADOW CHARLOTTE F,10,,,10,,$89.00,STOCK SAP_Images/Y1645.jpg,,,
Y1644,POPPY STRIPE CHARLOTTE F,10,,,10,,$89.00,STOCK SAP_Images/Y1644.jpg,,,
Y1643,DENIM STRIPE CHARLOTTE F,10,,,10,,$89.00,STOCK SAP_Images/Y1643.jpg,,,
Y1641,SPRING STRIPE CHARLOTTE F,10,,,10,,$89.00,STOCK SAP_Images/Y1641.jpg,,,
Y1640,CRAPHITE STRIPE CHARLOTTE F,10,,,10,,$89.00,STOCK SAP_Images/Y1640.jpg,,,
Y1568,PEWTER STRIPE CHARLOTTE F,10,,,10,,$89.00,STOCK SAP_Images/Y1568.jpg,,,
Y1524,ALPINE CHARLOTTE F,4,,,4,,$89.00,STOCK SAP_Images/Y1524.jpg,,,
Y1484,CITRUS CHARLOTTE F,0.8,,,0.8,,$89.00,STOCK SAP_Images/Y1484.jpg,,,
Y1483,NECTARINE CHARLOTTE F,2.5,,,2.5,,$89.00,STOCK SAP_Images/Y1483.jpg,,,
Y1446,CREAM CHARLOTTE F,2.5,,,2.5,,$89.00,STOCK SAP_Images/Y1446.jpg,,,
Y1423,SAND CHARLOTTE F,5,,,5,,$89.00,STOCK SAP_Images/Y1423.jpg,,,
Y1422,DOVE CHARLOTTE F,10,,,10,,$89.00,STOCK SAP_Images/Y1422.jpg,,,
Y1421,CHARCOAL CHARLOTTE F,10,,,10,,$89.00,STOCK SAP_Images/Y1421.jpg,,,
Y1420,DESERT CHARLOTTE F,10,,,10,,$89.00,STOCK SAP_Images/Y1420.jpg,,,
Y1419,PEWTER CHARLOTTE F,,,,,,$89.00,STOCK SAP_Images/Y1419.jpg,,,
Y1405,CACTUS CHARLOTTE F,10,,,10,,$89.00,STOCK SAP_Images/Y1405.jpg,,,
Y1360,RUSSET CHARLOTTE F,11.13,,,11.13,,$89.00,STOCK SAP_Images/Y1360.jpg,,,
Y1359,LATTE CHARLOTTE F,10,,,10,,$89.00,STOCK SAP_Images/Y1359.jpg,,,
Y1330,SEAGRASS CHARLOTTE F,4,,,4,,$89.00,STOCK SAP_Images/Y1330.jpg,,,
Y1295,NAVY KEY CHARLOTTE F,2.5,,,2.5,,$89.00,STOCK SAP_Images/Y1295.jpg,,,
Y1247,CHOCOLATE CHARLOTTE F,10,,,10,,$89.00,STOCK SAP_Images/Y1247.jpg,,,
Y1244,PUNCH CHARLOTTE F,10,,,10,,$89.00,STOCK SAP_Images/Y1244.jpg,,,
Y1239,FESTIVAL CHAROTTE F,12.33,,,12.33,,$89.00,STOCK SAP_Images/Y1239.jpg,,,
Y1238,SUMMER CHARLOTTE F,10,,,10,,$89.00,STOCK SAP_Images/Y1238.jpg,,,
Y1237,CHESTNUT CHARLOTTE F,2,,,2,,$89.00,STOCK SAP_Images/Y1237.jpg,,,
Y1220,CHAMOIS CHARLOTTE F,10,,,10,,$89.00,STOCK SAP_Images/Y1220.jpg,,,
Y1195,UMBER CHARLOTTE F,10,,,10,,$89.00,STOCK SAP_Images/Y1195.jpg,,,
Y1186,MOCHA CHARLOTTE F,10,,,10,,$89.00,STOCK SAP_Images/Y1186.jpg,,,
Y1183,GRANITE CHARLOTTE F,2,,,2,,$89.00,STOCK SAP_Images/Y1183.jpg,,,
"XJA2660,GIANT ACRYLIC,,,,,,""$1,075.00"",STOCK SAP_Images/XJA2660.jpg,,,"
XIB02,XIBALBA MULTICOLORE,20,,,20,,$419.00,STOCK SAP_Images/XIB02.jpg,,,
XIB01,XIBALBA NEUTRO,11,,,11,,$485.00,STOCK SAP_Images/XIB01.jpg,,,
X003EKW151,CINTA DE CORTINA TRANSPARENTE 25 METROS,,,,,,$0.00,STOCK SAP_Images/X003EKW151.jpg,,,
X0038K95FL,CINTA DE CORTINA TRANSPARENTE 10 YARDAS,,,,,,$0.00,STOCK SAP_Images/X0038K95FL.jpg,,,
WRLO5916,Genevieve 35.9'' Console Table,,,,,,$990.00,STOCK SAP_Images/WRLO5916.jpg,,,
WP30192,ESTIVO Settembre Wallpaper,,,,,,$563.00,STOCK SAP_Images/WP30192.jpg,,,
WP20842,LA BRASSERIA FERN,,,,,,$701.00,STOCK SAP_Images/WP20842.jpg,,,
WP20627,SUSIE Q WALLPAPER MINDTHEGAP,,,,,,$690.00,STOCK SAP_Images/WP20627.jpg,,,
WP20553,THE VIXEN Anthracite Wallpaper,,,,,,$290.00,STOCK SAP_Images/WP20553.jpg,,,
"WOOD-101,WOOD CONSOLE,1,,,1,Unidad,""$1,750.00"",STOCK SAP_Images/WOOD-101.jpg,,,"
"WMI60,HART MIRROR,,1,,-1,,""$1,290.00"",STOCK SAP_Images/WMI60.jpg,,,"
"WLAO1933,""SIMEON CONTEMPORANY CRYSTAL GLASS STAR  8""""X8"""""",,,,,,$210.00,STOCK SAP_Images/WLAO1933.jpg,,,"
"WHITEPEAUVACHE,COWHIDE WHITE,4,,,4,,""$1,490.00"",STOCK SAP_Images/WHITEPEAUVACHE.jpg,,,"
WATTA-01,WATTA,240.32,,,240.32,,$0.00,STOCK SAP_Images/WATTA-01.jpg,,,
